AnimalID,Date,Timepoint,Condition,ClusterDirectory,condition_timepoints,timepoints_AnimalID,videoID
c1m1,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c1_m1_cylinder_5min_dappy_format.mat,d0_healthy,d0_c1m1_healthy,1
c1m2,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c1_m2_cylinder_5min_dappy_format.mat,d0_healthy,d0_c1m2_healthy,2
c1m3,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c1_m3_cylinder_5min_dappy_format.mat,d0_healthy,d0_c1m3_healthy,3
c2m1,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c2_m1_cylinder_5min_dappy_format.mat,d0_healthy,d0_c2m1_healthy,4
c2m2,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c2_m2_cylinder_5min_dappy_format.mat,d0_healthy,d0_c2m2_healthy,5
c2m3,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c2_m3_cylinder_5min_dappy_format.mat,d0_healthy,d0_c2m3_healthy,6
c2m4,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c2_m4_cylinder_5min_dappy_format.mat,d0_healthy,d0_c2m4_healthy,7
c2m5,20241006,d0,healthy,data/nhi_exp2_dappy_formatted/20241006_d0_c2_m5_cylinder_5min_dappy_format.mat,d0_healthy,d0_c2m5_healthy,8
c3m1,20241006,d0,stroke,data/nhi_exp2_dappy_formatted/20241006_d0_c3_m1_cylinder_5min_dappy_format.mat,d0_stroke,d0_c3m1_stroke,9
c3m2,20241006,d0,stroke,data/nhi_exp2_dappy_formatted/20241006_d0_c3_m2_cylinder_5min_dappy_format.mat,d0_stroke,d0_c3m2_stroke,10
c3m3,20241006,d0,stroke,data/nhi_exp2_dappy_formatted/20241006_d0_c3_m3_cylinder_5min_dappy_format.mat,d0_stroke,d0_c3m3_stroke,11
c3m4,20241006,d0,stroke,data/nhi_exp2_dappy_formatted/20241006_d0_c3_m4_cylinder_5min_dappy_format.mat,d0_stroke,d0_c3m4_stroke,12
